File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF609VXF	tsv	tsv		gene quantifications	mm10	ENCSR516UNF	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000992	ovary	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1							/files/ENCFF936VFO/, /files/ENCFF363TFV/	11786301	ENCODE Processing Pipeline	5d62b0a89803afc5c68f3ac32a715344		https://www.encodeproject.org/files/ENCFF609VXF/@@download/ENCFF609VXF.tsv	M21			released	s3://encode-public/2021/06/01/aba982ea-1361-4aee-b4ea-b4b216a4dc37/ENCFF609VXF.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/06/01/aba982ea-1361-4aee-b4ea-b4b216a4dc37/ENCFF609VXF.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF580KBG	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR516UNF	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000992	ovary	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1							/files/ENCFF105IYD/, /files/mm10_no_alt.chrom.sizes/	66351975	ENCODE Processing Pipeline	af973703ab961b868dff670748bfb16b		https://www.encodeproject.org/files/ENCFF580KBG/@@download/ENCFF580KBG.bigWig	M21			released	s3://encode-public/2021/06/01/3f1d0341-0afc-4f90-be0f-802a37ffb609/ENCFF580KBG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/06/01/3f1d0341-0afc-4f90-be0f-802a37ffb609/ENCFF580KBG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF441JYG	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR516UNF	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0000992	ovary	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_1							/files/ENCFF105IYD/, /files/mm10_no_alt.chrom.sizes/	68036379	ENCODE Processing Pipeline	3938667f0c4e16f3dd90abfb514dcb8a		https://www.encodeproject.org/files/ENCFF441JYG/@@download/ENCFF441JYG.bigWig	M21			released	s3://encode-public/2021/06/01/111f7edb-3ecf-415f-814b-c0d9547137fb/ENCFF441JYG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/06/01/111f7edb-3ecf-415f-814b-c0d9547137fb/ENCFF441JYG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF890KPR	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR000CGT	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	Mus musculus											polyadenylated mRNA					reverse	2011-08-04	ENCODE		see document	>200	2	2_1							/files/ENCFF288DGI/, /files/mm10_no_alt.chrom.sizes/	12860637	ENCODE Processing Pipeline	f4d5bfa65dd42926024dd824eed8e98f		https://www.encodeproject.org/files/ENCFF890KPR/@@download/ENCFF890KPR.bigWig	M21			released	s3://encode-public/2022/11/07/df39c331-234b-44da-8f7a-7c3fba57a554/ENCFF890KPR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/df39c331-234b-44da-8f7a-7c3fba57a554/ENCFF890KPR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF026VYG	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR000CGT	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	Mus musculus											polyadenylated mRNA					reverse	2011-08-04	ENCODE		see document	>200	2	2_1							/files/ENCFF288DGI/, /files/mm10_no_alt.chrom.sizes/	13022515	ENCODE Processing Pipeline	3a5531602f18e1dd5f15dd7888ff6055		https://www.encodeproject.org/files/ENCFF026VYG/@@download/ENCFF026VYG.bigWig	M21			released	s3://encode-public/2022/11/07/04ca5080-5bc7-4004-9810-d071ddf2c7da/ENCFF026VYG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/04ca5080-5bc7-4004-9810-d071ddf2c7da/ENCFF026VYG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF588EWC	tsv	tsv		gene quantifications	mm10	ENCSR000CGT	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	Mus musculus											polyadenylated mRNA					reverse	2011-08-04	ENCODE		see document	>200	2	2_1							/files/ENCFF171QXM/, /files/ENCFF363TFV/	13117031	ENCODE Processing Pipeline	b3014b9c96dbd6267efeff197750eaf8		https://www.encodeproject.org/files/ENCFF588EWC/@@download/ENCFF588EWC.tsv	M21			released	s3://encode-public/2022/11/07/9cd4150e-471a-441a-bb26-2270272fe8e6/ENCFF588EWC.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/9cd4150e-471a-441a-bb26-2270272fe8e6/ENCFF588EWC.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF022AQC	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR000CHJ	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002101	limb	tissue	Mus musculus											polyadenylated mRNA					reverse	2012-05-04	ENCODE		see document	>200	1	1_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF629YHA/	38239572	ENCODE Processing Pipeline	496232b7995c3a4c7bed6d40002fa1b1		https://www.encodeproject.org/files/ENCFF022AQC/@@download/ENCFF022AQC.bigWig	M21			released	s3://encode-public/2022/11/07/5a805786-c8f2-4ba9-ad4b-5f6b578cecab/ENCFF022AQC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/5a805786-c8f2-4ba9-ad4b-5f6b578cecab/ENCFF022AQC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF785MZJ	tsv	tsv		gene quantifications	mm10	ENCSR000CHJ	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002101	limb	tissue	Mus musculus											polyadenylated mRNA					reverse	2012-05-04	ENCODE		see document	>200	1	1_1							/files/ENCFF363TFV/, /files/ENCFF098UPF/	13101491	ENCODE Processing Pipeline	1c519e919d33f3d0c69351360c3ff0a7		https://www.encodeproject.org/files/ENCFF785MZJ/@@download/ENCFF785MZJ.tsv	M21			released	s3://encode-public/2022/11/07/59876192-3131-4b9c-9515-5da88053c83f/ENCFF785MZJ.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/59876192-3131-4b9c-9515-5da88053c83f/ENCFF785MZJ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF576FFV	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR000CHJ	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002101	limb	tissue	Mus musculus											polyadenylated mRNA					reverse	2012-05-04	ENCODE		see document	>200	1	1_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF629YHA/	37689558	ENCODE Processing Pipeline	d7d53d0a90ec04d04344af82b09ac7cd		https://www.encodeproject.org/files/ENCFF576FFV/@@download/ENCFF576FFV.bigWig	M21			released	s3://encode-public/2022/11/07/a6dbb880-5ebd-469f-adfd-b67821133428/ENCFF576FFV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/a6dbb880-5ebd-469f-adfd-b67821133428/ENCFF576FFV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF138DTC	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR000CHH	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	Mus musculus											polyadenylated mRNA					reverse	2012-05-04	ENCODE		see document	>200	2	2_1							/files/ENCFF685LVX/, /files/mm10_no_alt.chrom.sizes/	3786333	ENCODE Processing Pipeline	bedba368cf22e87bc13749e206f9d674		https://www.encodeproject.org/files/ENCFF138DTC/@@download/ENCFF138DTC.bigWig	M21			released	s3://encode-public/2022/11/07/5531f654-abb4-4930-b4f8-88bc17b2c02d/ENCFF138DTC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/5531f654-abb4-4930-b4f8-88bc17b2c02d/ENCFF138DTC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF044OVF	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR000CHH	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	Mus musculus											polyadenylated mRNA					reverse	2012-05-04	ENCODE		see document	>200	2	2_1							/files/ENCFF685LVX/, /files/mm10_no_alt.chrom.sizes/	3654465	ENCODE Processing Pipeline	789ecb2fd6d6a5e637e7cc077e7592f5		https://www.encodeproject.org/files/ENCFF044OVF/@@download/ENCFF044OVF.bigWig	M21			released	s3://encode-public/2022/11/07/201cf859-a520-426a-b487-7bd0661ac771/ENCFF044OVF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/201cf859-a520-426a-b487-7bd0661ac771/ENCFF044OVF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF906JKB	tsv	tsv		gene quantifications	mm10	ENCSR000CHH	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	Mus musculus											polyadenylated mRNA					reverse	2012-05-04	ENCODE		see document	>200	2	2_1							/files/ENCFF363TFV/, /files/ENCFF739YLJ/	13131154	ENCODE Processing Pipeline	ddb41bfb8964beaa831d7f3c7e2522b7		https://www.encodeproject.org/files/ENCFF906JKB/@@download/ENCFF906JKB.tsv	M21			released	s3://encode-public/2022/11/07/b780e1c2-7e69-4900-802d-227f00a3f1be/ENCFF906JKB.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/b780e1c2-7e69-4900-802d-227f00a3f1be/ENCFF906JKB.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low replicate concordance	insufficient read depth, missing spikeins, insufficient read length	
ENCFF117QWC	bigWig	bigWig		signal of unique reads	mm10	ENCSR284AMY	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2014-11-20	ENCODE		chemical (Nextera tagmentation)	>200	1	1_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF764VNF/	143533606	ENCODE Processing Pipeline	0e8fcd7f4b0c494f40b22c42c32b0598		https://www.encodeproject.org/files/ENCFF117QWC/@@download/ENCFF117QWC.bigWig	M21			released	s3://encode-public/2021/03/15/d24e1a14-451e-4f3d-a7ea-efccf12e53fd/ENCFF117QWC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/d24e1a14-451e-4f3d-a7ea-efccf12e53fd/ENCFF117QWC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF557PQT	tsv	tsv		gene quantifications	mm10	ENCSR284AMY	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2014-11-20	ENCODE		chemical (Nextera tagmentation)	>200	1	1_1							/files/ENCFF363TFV/, /files/ENCFF773NZH/	11892852	ENCODE Processing Pipeline	b98e07619a57e303da1e79b33130e2bb		https://www.encodeproject.org/files/ENCFF557PQT/@@download/ENCFF557PQT.tsv	M21			released	s3://encode-public/2021/03/15/9b425868-35f2-4cd6-8c38-6bd7accb4d25/ENCFF557PQT.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/9b425868-35f2-4cd6-8c38-6bd7accb4d25/ENCFF557PQT.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF908YFY	bigWig	bigWig		signal of unique reads	mm10	ENCSR307BCA	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0001891	midbrain	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2014-11-20	ENCODE		chemical (Nextera tagmentation)	>200	2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF469PZL/	168312874	ENCODE Processing Pipeline	cf6379d59e5e3e7928a61509dc10229d		https://www.encodeproject.org/files/ENCFF908YFY/@@download/ENCFF908YFY.bigWig	M21			released	s3://encode-public/2021/03/15/5881942d-505a-4e76-839c-6c5ab8f22a77/ENCFF908YFY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/5881942d-505a-4e76-839c-6c5ab8f22a77/ENCFF908YFY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF184FWR	tsv	tsv		gene quantifications	mm10	ENCSR307BCA	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0001891	midbrain	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2014-11-20	ENCODE		chemical (Nextera tagmentation)	>200	2	2_1							/files/ENCFF187RGY/, /files/ENCFF363TFV/	11910124	ENCODE Processing Pipeline	b9088477998f9d19864f8157ab024c04		https://www.encodeproject.org/files/ENCFF184FWR/@@download/ENCFF184FWR.tsv	M21			released	s3://encode-public/2021/03/15/a1880274-32c8-4c67-8faa-7b612e223d36/ENCFF184FWR.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/a1880274-32c8-4c67-8faa-7b612e223d36/ENCFF184FWR.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
